shortname,fullname,summary,category_path
an-entire-mba-in-1-courseaward-winning-business-school-prof,"An Entire MBA in 1 Course:Award Winning Business School Prof","** #1 Best Selling Business Course! ** Everything You Need to Know About Business from Start-up to IPO","business"
the-complete-sql-bootcamp,"The Complete SQL Bootcamp 2020: Go from Zero to Hero","Become an expert at SQL!","business"
the-complete-financial-analyst-course,"The Complete Financial Analyst Course 2020","Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!","business"
pmp-pmbok6-35-pdus,"PMP Exam Prep Seminar - PMBOK Guide 6","PMP Exam Prep Seminar - Earn 35 PDUs by completing the entire PMP course","business"
tableau10,"Tableau 2020 A-Z: Hands-On Tableau Training for Data Science","Learn Tableau 2020 for data science step by step. Real-life data analytics exercises & quizzes included. Learn by doing!","business"
